,message,possible_cities
58,"Привет, мне нужен букет на день рождения друга, доставьте его в Екатеринбург, пожалуйста.","[('Екатеринбург', 100)]"
59,Здравствуйте. Я хочу отправить цветы в подарок в СПб. Можете ли вы помочь с выбором и оформлением заказа?,"[('Спб', 100)]"
60,"Здравствуйте, я хочу заказать доставку цветов в г. Нур-Султан. Есть ли у вас возможность доставки сегодня вечером?","[('Нур-Султан', 100)]"
61,"Привет, а можно у вас заказать доставку цветов в Новосиб на завтра? Сколько стоит? Спасибо!#","[('Новосиб', 100)]"
62,"Здравствуйте, нужен букет на юбилей, в г. Екатеринбург. Могу я выбрать сам или вы порекомендуете варианты?","[('Екатеринбург', 100)]"
63,Добрый вечер. Я бы хотел заказать доставку цветов в городе Новосибирск на завтра к утру. Это возможно? Спасибо.,"[('Новосибирск', 100)]"
64,5. Здравствуйте. Как происходит оплата доставки цветов в Нижнем Новгороде? Нужно ли предварительно оплатить или можно на месте?#,"[('Александровск-Сахалинский', 29), ('Аксеново-Зиловское', 28), ('Камень-на-Оби', 27), ('Калач-на-Дону', 27), ('Николаевск-на-Амуре', 27)]"
65,Добрый вечер. Хочу заказать букет роз для девушки в Мск. Можно добавить плюшевого мишку к заказу? Сколько это будет стоить? Спасибо!,"[('Мск', 100)]"
66,"Добрый день, я бы хотела заказать доставку цветов в городе Екатеринбург на завтра. Можете подсказать, какие у вас есть букеты в наличии?","[('Екатеринбург', 100)]"
67,"1 цветок в Новосибирске, сколько будет стоить?","[('Новосибирск', 69), ('Усолье-Сибирское', 59), ('Лесосибирск', 50), ('Новосиб', 50), ('Новороссийск', 48)]"
68,Привет! Нужна доставка цветов в Алм. Хочу порадовать свою девушку. Какие у вас варианты букетов?,"[('Алм', 100)]"
69,Привет! Я хочу заказать букет роз на доставку в ЕКБ. Сколько это будет стоить?,"[('Екб', 100)]"
70,"Доставка цветов в Москве - это плохо работает у вас или все-таки есть шанс, что цветы доедут вовремя?","[('Родионово-Несветайская', 29), ('Вождь Пролетариата', 28), ('Ильинское-Хованское', 28), ('Пошехонье-Володарск', 28), ('Большое Сорокино', 27)]"
71,Добрый день! Нужно срочно доставить цветы в Москву! Как быстро вы сможете это сделать и сколько будет стоить? Спасибо!,"[('Усть-Илимск', 36), ('Приморско-Ахтарск', 35), ('Усть-Камчатск', 34), ('Семикаракорск', 34), ('Камское Устье', 34)]"
72,"Привет, доставка цветов в екб возможна сегодня?","[('Екб', 100)]"
73,Добрый день! Сколько стоит доставка цветов в вашем магазине в Нижний Новгород?,"[('Нижний Новгород', 100)]"
74,"Привет, хочу заказать доставку цветов в екат, сколько это будет стоить и когда можно доставить?","[('Екат', 100)]"
75,"Здравствуйте, хочу заказать доставку цветов в МСК. Какие у вас есть варианты букетов?","[('Мск', 100)]"
76,Здравствуйте. Я хочу заказать доставку цветов в Нижний Новгород для своей мамы. Как быстро вы сможете доставить букет ромашек? ,"[('Нижний Новгород', 100)]"
77,"Хей, отправьте цветы в Москву, пожалуйста.","[('Камское Устье', 45), ('Юрьев-Польский', 44), ('Новокуйбышевск', 44), ('Вознесенье', 43), ('Пошехонье-Володарск', 43)]"
78,Добрый день! Хочу заказать цветы в город мск. У вас есть букеты с герберами? И какие условия доставки? Спасибо!#,"[('Мск', 100)]"
79,"Уточните пожалуйста, цены на доставку цветов в Москве. Спасибо!#","[('Камень-на-Оби', 44), ('Камское Устье', 44), ('Восточный', 43), ('Ростов-на-Дону', 43), ('Кузоватово', 42)]"
80,"Добрый вечер, я хочу сделать заказ на сегодня в Нижнем Новгороде. Цветы нужны на юбилей. Надеюсь, вы сможете доставить в срок.","[('Нижний Новгород', 37), ('Анжеро-Судженск', 34), ('Усть-Чарышская Пристань', 33), ('Ростов-на-Дону', 32), ('Белый Городок', 32)]"
81,"Добрый день, хочу отправить цветы в город Екатеринбург, как это сделать?","[('Екатеринбург', 100)]"
82,"Добрый день, хочу заказать цветы в Новосиб, доставку сделать в понедельник. Какова стоимость и какие варианты букетов у вас есть?","[('Новосиб', 100)]"
83,Здравствуйте! Хочу заказать доставку цветов в г. мск. Какие у вас варианты букетов на выбор? Спасибо!,"[('Мск', 100)]"
84,"Здравствуйте! Я уже несколько раз заказывала у вас цветы и хочу выразить свою благодарность за качественное обслуживание. Скажите, можно ли сделать доставку цветов сегодня в Н.Новгород? ","[('Елань-Коленовский', 23), ('Старощербиновская', 23), ('Родионово-Несветайская', 23), ('Александровск-Сахалинский', 23), ('Усть-Чарышская Пристань', 22)]"
85,Здравствуйте. Мне нужна доставка цветочного букета в Санкт-Петербург на завтра. Как быстро можно оформить заказ?,"[('Санкт-Петербург', 100)]"
86,Добрый день! Я бы хотела заказать доставку букета роз в город Нижний Новгород. Можете подсказать какие у вас есть варианты и цены? Спасибо! ,"[('Нижний Новгород', 100)]"
87,"Привет, хочу заказать доставку цветов в СПб завтра к вечеру. Можно узнать, какие у вас есть варианты букетов и цены? Спасибо!","[('Спб', 100)]"
88,"Привет, мне нужен красивый букет для свадьбы в Екатеринбурге, поможете подобрать?","[('Екатеринбург', 52), ('Санкт-Петербург', 41), ('Набережные Челны', 40), ('Екатериновка', 39), ('Верхнеднепровский', 39)]"
89,"Привет, я хочу заказать букет цветов для своей девушки в Санкт-Петербурге. Что можете посоветовать?","[('Санкт-Петербург', 59), ('Лосино-Петровский', 38), ('Петропавловск-Камчатский', 37), ('Гаврилов Посад', 36), ('Переславль-Залесский', 36)]"
90,"Добрый день! Хочу заказать цветы для девушки в екат, но не знаю, какие она любит. Поможете подобрать?","[('Екат', 100)]"
91,"Здравствуйте, хочу заказать цветы на день рождения в Маскве. Какие у вас варианты и цены?","[('Светлый Яр', 44), ('Ханты-Мансийск', 44), ('Ханты-Мансийск', 44), ('Красное-на-Волге', 42), ('Малая Вишера', 41)]"
92,1. Здравствуйте! Я хочу сделать заказ на доставку цветов в Нижнем Новгороде. Какие у вас есть варианты букетов на выбор?,"[('Нижний Новгород', 46), ('Красногородское', 39), ('Красное-на-Волге', 35), ('Кушнаренково', 34), ('Красногвардейское', 34)]"
93,"Здравствуйте, сколько стоит доставка цветов в МСК?","[('Мск', 100)]"
94,Здравствуйте! Хочу заказать доставку цветов в г. Нижний Новгород на завтра. Какие у вас варианты букетов?,"[('Нижний Новгород', 100)]"
95,"Здравствуйте, пожалуйста, доставьте цветы в Екатеринбург на завтра, это возможно?","[('Екатеринбург', 100)]"
96,"Привет, заказываю у вас первый раз. Доставка цветов в Нижнем Новгороде точно будет? Чтобы не было потом недоразумений.","[('Чегем-Первый', 67), ('Нижний Новгород', 31), ('Петропавловск-Камчатский', 28), ('Красногородское', 28), ('Родионово-Несветайская', 28)]"
97,Привет! Я хочу заказать доставку цветов в Санкт-Петербург. Какие у вас есть букеты на выбор?,"[('Санкт-Петербург', 100)]"
98,Здравствуйте! Я хотел бы заказать доставку цветов в СПБ на завтра. Возможно ли это?,"[('Спб', 100)]"
99,Здравствуйте! Буду в ЕКБ на следующей неделе и хочу удивить подругу букетом цветов. Можно оформить заказ заранее?,"[('Екб', 100)]"
100,"Привет, отправьте цветы в СПб, очень нужно поднять настроение девушке. Какие у вас расцветки роз?#","[('Спб', 100)]"
101,"Добрый вечер, хочу купить букет цветов для Москвы. Какие у вас есть варианты?","[('Новый Оскол', 42), ('Сосновый Бор', 41), ('Приморско-Ахтарск', 41), ('Новые Бурасы', 41), ('Южно-Курильск', 40)]"
102,"Здравствуйте, хочу заказать букет роз для мамы в Новосибирск, можно ли сделать доставку сегодня?","[('Новосибирск', 100)]"
103,"Здраствуйте, вы можете доставить цветы в Новосибирск прямо сейчас?","[('Новосибирск', 100)]"
104,"Привет, нужно доставить цветы в Новосиб, пожалуйста, подскажите, сколько времени займет доставка?","[('Новосиб', 100)]"
105,"Здравствуйте, сколько стоит доставка цветов в Новосибирск?","[('Новосибирск', 100)]"
106,Здравствуйте. Хочу заказать букет на день рождения подруги. Как быстро можно сделать доставку в Москве?,"[('Камень-на-Оби', 43), ('Камское Устье', 43), ('Красное-на-Волге', 40), ('Усть-Калманка', 38), ('Усть-Камчатск', 38)]"
107,"Добрый день, мне нужно доставить цветы в г. Екб завтра утром. Какой у вас выбор букетов?","[('Екб', 100)]"
108,"Добрый день, хочу заказать розы в Екатеринбурге для своей девушки, у вас есть какие-то акции?","[('Екатеринбург', 63), ('Санкт-Петербург', 49), ('Екатериновка', 47), ('Екатеринославка', 44), ('Верхний Мамон', 41)]"
109,"Привет, хочу заказать доставку цветов в Новосиб. Какие у вас варианты букетов и цены?","[('Новосиб', 100)]"
110,"Здравствуйте, заказываю цветы в Петербурге. Надеюсь, что качество букета будет на высоте!","[('Санкт-Петербург', 42), ('Екатеринбург', 36), ('Высокая Гора', 36), ('Ростов-на-Дону', 35), ('Николаевск-на-Амуре', 35)]"
111,Хотел бы послать цветы в МСК. Как это сделать?,"[('Мск', 100)]"
112,Здравствуйте. Я бы хотел сделать заказ на доставку цветов в г Нижний Новгород. У вас есть розы?,"[('Нижний Новгород', 100)]"
113,"Здравствуйте! Хочу заказать доставку цветов в Новосибирск, можно узнать условия и цены? Спасибо!","[('Новосибирск', 100)]"
114,Привет! Доставка цветов в городе Нижний-Новгород только до 15:00?,"[('Нижний Новгород', 100)]"
115,"Привет, доставите букет роз в г. екат? Срочно нужно, можно ли сегодня?","[('Екат', 100)]"
116,"Привет, сколько стоит доставка цветов в г. нижний новгород? Хочу заказать букет на свадьбу сестры.","[('Нижний Новгород', 100)]"
117,"Хочу цветы в Новосибирске. Скорее быстро сделайте доставку, сегодня нужно!","[('Новосибирск', 54), ('Усолье-Сибирское', 52), ('Новоспасское', 48), ('Воскресенское', 47), ('Воскресенское', 47)]"
118,Здравствуйте! Хочу заказать букет роз с доставкой в г. Алм. Возможно ли это сегодня?,"[('Алм', 100)]"
119,Здравствуйте. Я хочу заказать цветы в Москву на день рождения. Какие у вас есть букеты на выбор? Спасибо!#,"[('Москва', 46), ('Старая Купавна', 41), ('Ростов-на-Дону', 41), ('Ханты-Мансийск', 41), ('Ханты-Мансийск', 41)]"
